country_code,Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic private health expenditure (% of current health expenditure),Ease of doing business score (0 = lowest performance to 100 = best performance),"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP per capita (current US$),GDP per capita growth (annual %),Gini index,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Rural population (% of total population),Strength of legal rights index (0=weak to 12=strong),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
ABW,100.0,,,,,,,,,30841.827649076335,-1.4075718679867126,,,,97.8126831054688,97.8001327514648,97.8074188232422,,,132.6259947,,,,56.499,,,
AFE,43.8678659695972,,0.914914353046635,6.273200225799823,3.0329190451690735,39.948102584572304,53.332704487179505,,66.51256905346419,1521.2167262524433,-0.455255031133092,,1001.401204892061,72.66684051535304,,,,2.49222222222222,1.1214990371857068,70.64744301270512,60.72707902752484,,29.106899258336767,63.869861914971864,4.53846153846154,8.06715703032546,6.853289742495247
AFG,97.33870951334637,,0.16098134817790732,13.53704898,0.9060273333333333,78.37265777333333,44.11112333333333,,42.1103324890137,491.3423728339553,0.6254576550403866,,,50.443333333333335,,,,1.95,1.0810691660255431,59.27762920999999,60.833333333333336,84.76216888427733,27.8688524590164,74.33233333333332,10.0,4.1,11.195333480834968
AFW,51.28003254051026,,0.49143416605545137,3.3751198797760265,0.7447108042288533,65.02260452387422,49.372292575757534,,56.68829816769297,1753.2804477962334,0.41705827478816077,,1326.2644606088234,61.782729321870626,,,,2.41333333333333,0.8872795260654595,94.49728430198597,97.4265727370813,,15.3720057832832,52.960385321800196,5.86363636363636,5.41627295287804,6.05593899425772
AGO,45.5251998901367,,0.7873163577757506,2.5356071,1.05249298,55.26684570333333,41.25960333333333,,71.49500020345053,2293.5135040501705,-4.078021691816629,51.3,1475.4288220321735,77.96333333333334,,,,2.05,1.7197521442790598,45.44259827333334,75.23333333333333,,30.151515151515166,34.044000000000004,1.0,6.066666666666666,7.4210000038147
ALB,100.0,36.1,1.7224118622814233,5.23207188,2.82499456,44.65778351,67.49751666666667,,52.929999033609995,5360.031807721257,3.10803769970236,30.566666666666666,3523.08275531122,69.18,97.7611236572266,98.5136184692383,98.1411514282227,2.66,1.2478134523857467,92.25434301,9.633333333333333,102.72778320312467,28.9578454332553,39.074333333333335,8.0,4.366666666666667,11.746666908264167
AND,100.0,,6.441803420967269,6.7249317133333335,4.638022423333333,31.030377706666666,,,,41196.718216439534,1.7467918347618998,,,,,,,,,111.73243466666668,2.733333333333333,,41.666666666666636,11.99,,,
ARB,89.63688016822266,,4.397284231746213,5.07393977619036,3.0013112666544264,40.8513049911033,55.96276545454543,,41.91377250694807,6587.107129654117,-0.06642065129261733,,3200.4409975673602,50.3690766032567,65.74851481119794,79.70732879638673,73.03252919514976,2.67809523809524,5.60595078111345,98.83936035976875,35.12888855774953,86.15413920084633,18.064617776190598,40.890037677086575,2.8484848484848464,4.191111450169303,10.171547538206134
ARE,100.0,,19.01660154113873,4.231851736666666,2.2032264033333337,47.94195811,81.03135,70.7292251586914,77.3889999389648,43080.736858893266,1.1827575502743863,26.0,16399.579827283233,82.77333333333333,94.4740982055664,96.232307434082,95.526481628418,3.96,,203.25632726666666,6.866666666666667,111.938819885254,40.833333333333336,13.299999999999999,6.0,6.266666666666667,2.2706666787465433
ARG,99.99652608235677,,3.81902418394907,9.562202136666668,5.9323058133333335,37.68943914,58.7023,,54.27299880981443,10649.289956174965,-3.1967951779524633,42.36666666666667,8412.745853037333,69.31666666666666,99.0620422363281,98.9377365112305,99.0038681030273,2.89,0.7192907319951071,127.92578776666666,9.299999999999999,98.60024515787761,39.74182215549903,8.049333333333335,2.0,8.666666666666666,9.633333524068197
